"regio_tech","TechGroup","regio_inv","TimePeriod","onshored_patents","non_western_share","non_domestic_share","China_share","India_share","reg_label","TechGroup_No","weight_initial_patents","imputed_N_inv_ChinaIndia","N_inv_regiotech","imputed_N_inv_regiotech","ChinaIndia_share_imputed","imputed_N_inv_nonwestern","non_western_share_imputed","imputed_N_inv_anglosaxon","anglosaxon_share_imputed","trend","anglo_saxon_share","N_inv_nonwestern","N_inv_non_domestic","N_inv_anglosaxon","N_inv_China","N_inv_India","N_inv_ChinaIndia"
"AK02","Information & Communication Technology","Alaska","1997",1,5.00866194538717,35.1646064409728,0.202327851356791,0.131220581203694,"AK","02",NA,0.00580405938511493,73,0.630590382860162,0.920416730554868,0.0108506010430624,1.72070512617834,0.260585438988887,41.3240426863081,5,64.8353935590272,3.65632322013264,25.6701627019102,47.3298372980898,0.147699331490458,0.0957910242786966,0.243490355769154
"AK02","Information & Communication Technology","Alaska","2003",4,4.43110938647421,34.1996009340474,0.282949094336696,1.32118755193827,"AK","02",NA,0.013149709739512,155,0.889129077196522,1.47894271785306,0.0227370667804681,2.5572290192285,0.334750435483548,37.6492507183587,7,65.8003990659526,6.86821954903503,53.0093814477734,101.990618552227,0.438571096221878,2.04784070550431,2.48641180172619
"AK03","Chemistry & Materials","Alaska","2000",2,NA,NA,NA,NA,"AK","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"AK03","Chemistry & Materials","Alaska","2009",12,NA,NA,NA,NA,"AK","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"AK03","Chemistry & Materials","Alaska","2006",7,NA,NA,NA,NA,"AK","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"AK03","Chemistry & Materials","Alaska","2012",9,NA,NA,NA,NA,"AK","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
"AK03","Chemistry & Materials","Alaska","2003",4,NA,NA,NA,NA,"AK","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
"AK03","Chemistry & Materials","Alaska","2015",6,NA,NA,NA,NA,"AK","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
"AK04","Computer Science","Alaska","2000",3,11.6077179890084,42.7478627568015,3.56571988581679,4.51385911391086,"AK","04",NA,0.00545871394157419,119,0.342940865638661,1.59173621125858,0.00977580613096309,2.85058070077404,0.124121442919511,36.1932494362721,6,57.2521372431985,13.81318440692,50.8699566805938,68.1300433194062,4.24320666412198,5.37149234555392,9.61469900967589
"AK04","Computer Science","Alaska","2015",33,18.4372143520295,49.248782944288,0.0454249528507518,9.99226665460628,"AK","04",NA,0.0212594088912862,50,0.669068549742998,3.17746349001942,0.0325483349930136,4.86472350337137,0.194353664482805,29.0483934056473,11,50.751217055712,9.21860717601477,24.624391472144,25.375608527856,0.0227124764253759,4.99613332730314,5.01884580372852
"AK04","Computer Science","Alaska","1997",0,14.2006358128868,39.7303318753125,2.7411835334791,2.43137078020785,"AK","04",NA,0.00303864580241443,45,0.219916414468944,1.38172760307692,0.00536533809465837,2.43971697502192,0.0849374508432564,38.6226062517272,5,60.2696681246875,6.39028611579904,17.8786493438906,27.1213506561094,1.23353259006559,1.09411685109353,2.32764944115912
