"TechGroup","regio_inv","TimePeriod","non_western_share","onshored_patents","reg_label","TechGroup_No","regio_tech","N_patents_TechGroup","imputed_N_inv_ChinaIndia","N_inv_regiotech","imputed_N_inv_regiotech","ChinaIndia_share_imputed","imputed_N_inv_nonwestern","non_western_share_imputed","imputed_N_inv_anglosaxon","anglosaxon_share_imputed","N_inv_nonwestern"
"Instruments","Wisconsin","1985",1.2514085688854,3,"WI","05","WI05",26595,2.80149848383277,66,83.1504779747322,3.36919107630877,4.94453631233579,5.94649174937796,46.1492460278648,55.5008788306529,0.825929655464364
"Instruments","Nebraska","2010",NA,3,"NE","05","NE05",67736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","Rhode Island","1985",NA,2,"RI","05","RI05",26595,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","California","2010",28.4886162603722,563,"CA","05","CA05",67736,304.40211857422,3384,1701.09129557573,17.8945197924369,526.049483651052,30.9242358137522,717.643802915574,42.1872597186319,964.054774250994
"Instruments","Iowa","2010",7.2116375993261,33,"IA","05","IA05",67736,6.12460406723108,52,91.7843349185762,6.67282066451137,7.58230846804433,8.26100496862646,46.5327818780581,50.6979561592273,3.75005155164957
"Instruments","Hawaii","2010",NA,6,"HI","05","HI05",67736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","District of Columbia","1990",NA,2,"DC","05","DC05",37762,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","Ohio","1990",10.2231545307275,30,"OH","05","OH05",37762,20.0213906660141,183,411.246721429601,4.8684620746433,36.1154676555604,8.7819466450732,247.133580422275,60.0937509150649,18.7083727912314
"Instruments","Tennessee","1980",NA,1,"TN","05","TN05",30554,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","Massachusetts","1985",6.85167905677404,11,"MA","05","MA05",26595,11.0203014981445,375,256.145121775472,4.30236633895549,21.7975591931183,8.50984748100154,139.079910622754,54.2973099228751,25.6937964629026
"Instruments","South Carolina","2010",11.1806121441285,88,"SC","05","SC05",67736,7.37515380690703,58,77.5139789595043,9.51461130741339,9.55916734997968,12.3321850823497,40.635674655436,52.4236727373592,6.4847550435945
"Instruments","Wisconsin","2005",12.5274263029097,35,"WI","05","WI05",54919,9.63901578354206,79,129.122904357016,7.46499300921147,17.3187927891492,13.4126419130597,56.708300585291,43.9180801172939,9.89666677929867
"Instruments","Iowa","1995",NA,3,"IA","05","IA05",51957,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","New Jersey","1990",12.752099378294,45,"NJ","05","NJ05",37762,45.6272189553037,291,488.937358889369,9.33191504509838,75.0727811200844,15.3542738666183,244.480008492325,50.0023170754769,37.1086091908356
"Instruments","Wisconsin","1995",14.4835772369034,17,"WI","05","WI05",51957,6.17390567318534,86,107.57332949032,5.73925312383389,11.2327155958015,10.4419149700226,51.1310155942023,47.5313126743029,12.4558764237369
"Instruments","Massachusetts","1980",6.8027941034628,6,"MA","05","MA05",30554,6.86561442188301,280,196.916990920882,3.48655257719305,14.2994404916355,7.26165904971642,110.051928841502,55.887472343978,19.0478234896958
"Instruments","California","2000",25.1490466873218,437,"CA","05","CA05",61681,216.538513003851,2731,1475.21136571072,14.6784737453218,374.449371917424,25.3827607772683,645.176678097392,43.7345246310899,686.820465030758
"Instruments","South Carolina","1990",11.6339959491656,10,"SC","05","SC05",37762,1.57904617899548,44,38.3637651919105,4.11598332722682,2.18074772736052,5.68439441866972,24.8773572363316,64.8459740900961,5.11895821763287
"Instruments","Ohio","1985",9.50212036094216,15,"OH","05","OH05",26595,15.3719060657081,219,381.093961665946,4.03362624758212,26.8378447498142,7.04231697413755,243.613555077243,63.9248005957089,20.8096435904633
"Instruments","Pennsylvania","2010",19.2697124306223,139,"PA","05","PA05",67736,122.276126156698,339,928.546116155066,13.1685571701081,187.270830628649,20.1681776888048,433.931544582861,46.7323633186567,65.3243251398094
