"","organization","organization_cleaned","eq_firm","name_diff","match"
"198","sonova","sonova","sonova",0,1
"199","staubli","staubli","staubli",0,1
"200","suva","suva","suva",0,1
"201","swisscom","swisscom","swisscom",0,1
"202","tecan","tecan","tecan",0,1
"203","tissot","tissot","tissot",0,1
"204","von roll holding","von roll","von roll",0,1
"205","emirates","emirates","emirates",0,1
"206","alvarion","alvarion","alvarion",0,1
"207","audiocodes","audiocodes","audiocodes",0,1
"208","biolinerx","biolinerx","biolinerx",0,1
"209","compugen","compugen","compugen",0,1
"210","conduit","conduit","conduit",0,1
"211","cyberark software","cyberark","cyberark",0,1
"212","elbit systems","elbit","elbit",0,1
"213","elta systems","elta","elta",0,1
"214","expand networks","expand networks","expand networks",0,1
"215","gilat satellite networks","gilat satellite networks","gilat satellite networks",0,1
"216","greensun energy","greensun energy","greensun energy",0,1
"217","nice systems","nice","nice",0,1
"218","nilit","nilit","nilit",0,1
"219","objet geometries","objet geometries","objet geometries",0,1
"220","orbotech","orbotech","orbotech",0,1
"221","primesense","primesense","primesense",0,1
"222","radvision","radvision","radvision",0,1
"223","rafael armament development authority","rafael armament development authority","rafael armament development authority",0,1
"224","tadiran","tadiran","tadiran",0,1
"225","vocaltec","vocaltec","vocaltec",0,1
"226","glaxo","glaxo","glaxo",0,1
"227","ge healthcare","ge","ge",0,1
"228","anglian water services","anglian water","anglian water",0,1
"229","cambridge enterprise","cambridge","cambridge",0,1
"230","zeneca","zeneca","zeneca",0,1
"231","rover","rover","rover",0,1
"232","bae systems","bae","bae",0,1
"233","british aerospace","british aerospace","british aerospace",0,1
"234","beecham","beecham","beecham",0,1
"235","smithkline beecham","smithkline beecham","smithkline beecham",0,1
"236","glaxosmithkline","glaxosmithkline","glaxosmithkline",0,1
"237","vickers","vickers","vickers",0,1
"238","south west water","south west water","south west water",0,1
"239","british aluminium","british aluminium","british aluminium",0,1
"240","british biotech pharmaceuticals","british biotech","british biotech",0,1
"241","oxford medical systems","oxford","oxford",0,1
"242","british gas","british gas","british gas",0,1
"243","bg intellectual property","bg","bg",0,1
"244","transco","transco","transco",0,1
"245","bt","bt","bt",0,1
"246","chiroscience","chiroscience","chiroscience",0,1
"247","hanson","hanson","hanson",0,1
"248","warwick","warwick","warwick",0,1
"249","coral","coral","coral",0,1
"250","boots healthcare","boots","boots",0,1
"251","reckitt benckiser","reckitt benckiser","reckitt benckiser",0,1
"252","thorn emi","thorn emi","thorn emi",0,1
"253","galvani bioelectronics","galvani bioelectronics","galvani bioelectronics",0,1
"254","lotus cars","lotus cars","lotus cars",0,1
"255","gw pharma","gw","gw",0,1
"256","yorkshire water services","yorkshire water","yorkshire water",0,1
"257","sky medical","sky","sky",0,1
"258","thames water","thames water","thames water",0,1
"259","north west water","north west water","north west water",0,1
"260","randox laboratories","randox","randox",0,1
"261","southern water services","southern water","southern water",0,1
"262","united utilities","united utilities","united utilities",0,1
"263","vodafone","vodafone","vodafone",0,1
"264","ppl","ppl","ppl",0,1
"265","advantest","advantest","advantest",0,1
"266","agc","agc","agc",0,1
"267","aisin seiki","aisin seiki","aisin seiki",0,1
"268","aiwa","aiwa","aiwa",0,1
"269","ajinomoto","ajinomoto","ajinomoto",0,1
"270","akebono brake industry","akebono brake industry","akebono brake industry",0,1
"271","alps electric","alps electric","alps electric",0,1
"272","alpine electronics","alpine electronics","alpine electronics",0,1
"273","anritsu","anritsu","anritsu",0,1
"274","aruze","aruze","aruze",0,1
"275","asics","asics","asics",0,1
"276","asahi kasei","asahi kasei","asahi kasei",0,1
"277","astellas pharma","astellas","astellas",0,1
"278","avex","avex","avex",0,1
"279","namco bandai games","namco bandai games","namco bandai games",0,1
"280","bridgestone","bridgestone","bridgestone",0,1
"281","calsonic kansei","calsonic kansei","calsonic kansei",0,1
"282","canon sales","canon","canon",0,1
"283","capcom","capcom","capcom",0,1
"284","cateye","cateye","cateye",0,1
"285","chino","chino","chino",0,1
"286","chisso","chisso","chisso",0,1
"287","chiyoda","chiyoda","chiyoda",0,1
"288","chubu electric power","chubu electric power","chubu electric power",0,1
"289","citizen","citizen","citizen",0,1
"290","dai nippon printing","dai nippon printing","dai nippon printing",0,1
"291","daicel chemical","daicel","daicel",0,1
"292","daiei chemical","daiei","daiei",0,1
"293","daifuku","daifuku","daifuku",0,1
"294","daiichi sankyo","daiichi sankyo","daiichi sankyo",0,1
"295","daikyo chemical","daikyo","daikyo",0,1
"296","dainippon sumitomo pharma","dainippon sumitomo","dainippon sumitomo",0,1
"297","daiso","daiso","daiso",0,1
"298","denka","denka","denka",0,1
"299","denon","denon","denon",0,1
"300","denso","denso","denso",0,1
"301","dmg mori seiki","dmg mori seiki","dmg mori seiki",0,1
"302","dome","dome","dome",0,1
"303","dynic","dynic","dynic",0,1
"304","ebara","ebara","ebara",0,1
"305","eiken chemical","eiken","eiken",0,1
"306","eisai","eisai","eisai",0,1
"307","eizo","eizo","eizo",0,1
"308","fanuc","fanuc","fanuc",0,1
"309","fuji electric","fuji electric","fuji electric",0,1
"310","fujifilm","fujifilm","fujifilm",0,1
"311","fujimitsu","fujimitsu","fujimitsu",0,1
