"organization";"organization_cleaned";"eq_firm";"name_diff";"match";"classified"
"carmeuse";"carmeuse";"carmeuse";0;1;"auto"
"eurogentec";"eurogentec";"eurogentec";0;1;"auto"
"evs broadcast equipment";"evs broadcast equipment";"evs broadcast equipment";0;1;"auto"
"imec";"imec";"imec";0;1;"auto"
"imperia automobiles";"imperia automobiles";"imperia automobiles";0;1;"auto"
"innogenetics";"innogenetics";"innogenetics";0;1;"auto"
"katoen natie";"katoen natie";"katoen natie";0;1;"auto"
"option nv";"option nv";"option nv";0;1;"auto"
"soudal";"soudal";"soudal";0;1;"auto"
"van genechten packaging";"van genechten packaging";"van genechten packaging";0;1;"auto"
"zetes";"zetes";"zetes";0;1;"auto"
"ambev";"ambev";"ambev";0;1;"auto"
"aracruz celulose";"aracruz celulose";"aracruz celulose";0;1;"auto"
"banco bradesco";"banco bradesco";"banco bradesco";0;1;"auto"
"duratex";"duratex";"duratex";0;1;"auto"
"embraer";"embraer";"embraer";0;1;"auto"
"embrapa";"embrapa";"embrapa";0;1;"auto"
"hypermarcas";"hypermarcas";"hypermarcas";0;1;"auto"
"itautec";"itautec";"itautec";0;1;"auto"
"jbs";"jbs";"jbs";0;1;"auto"
"marcopolo";"marcopolo";"marcopolo";0;1;"auto"
"petrobras";"petrobras";"petrobras";0;1;"auto"
"suzano papel e celulose";"suzano papel e celulose";"suzano papel e celulose";0;1;"auto"
"vale";"vale";"vale";0;1;"auto"
"angoss software";"angoss";"angoss";0;1;"auto"
"apotex";"apotex";"apotex";0;1;"auto"
"areva resources canada";"areva resources canada";"areva resources canada";0;1;"auto"
"barrick gold";"barrick gold";"barrick gold";0;1;"auto"
"bell canada";"bell canada";"bell canada";0;1;"auto"
"blue giant equipment";"blue giant equipment";"blue giant equipment";0;1;"auto"
"boeing canada";"boeing canada";"boeing canada";0;1;"auto"
"canadian light source";"canadian light source";"canadian light source";0;1;"auto"
"canadian natural resources";"canadian natural resources";"canadian natural resources";0;1;"auto"
"canadian oil sands";"canadian oil sands";"canadian oil sands";0;1;"auto"
"canadian tire";"canadian tire";"canadian tire";0;1;"auto"
"cargill";"cargill";"cargill";0;1;"auto"
"catalyst paper";"catalyst paper";"catalyst paper";0;1;"auto"
"celestica";"celestica";"celestica";0;1;"auto"
"cenovus energy";"cenovus energy";"cenovus energy";0;1;"auto"
"colt canada";"colt canada";"colt canada";0;1;"auto"
"dofasco";"dofasco";"dofasco";0;1;"auto"
"dominion voting systems";"dominion voting";"dominion voting";0;1;"auto"
"dynamotive energy systems";"dynamotive energy";"dynamotive energy";0;1;"auto"
"elastic path software";"elastic path";"elastic path";0;1;"auto"
"electrohome";"electrohome";"electrohome";0;1;"auto"
"enbridge";"enbridge";"enbridge";0;1;"auto"
"encana";"encana";"encana";0;1;"auto"
"esprida";"esprida";"esprida";0;1;"auto"
"falconbridge";"falconbridge";"falconbridge";0;1;"auto"
"finning";"finning";"finning";0;1;"auto"
"geosoft";"geosoft";"geosoft";0;1;"auto"
"goldcorp";"goldcorp";"goldcorp";0;1;"auto"
"guestlogix";"guestlogix";"guestlogix";0;1;"auto"
"halogen software";"halogen";"halogen";0;1;"auto"
"imperial oil";"imperial oil";"imperial oil";0;1;"auto"
"intertape polymer";"intertape polymer";"intertape polymer";0;1;"auto"
"irving oil";"irving oil";"irving oil";0;1;"auto"
"keycafe";"keycafe";"keycafe";0;1;"auto"
"kinaxis";"kinaxis";"kinaxis";0;1;"auto"
"linamar";"linamar";"linamar";0;1;"auto"
"london drugs";"london drugs";"london drugs";0;1;"auto"
"lystek";"lystek";"lystek";0;1;"auto"
"manitoba hydro";"manitoba hydro";"manitoba hydro";0;1;"auto"
"maple leaf foods";"maple leaf foods";"maple leaf foods";0;1;"auto"
"mccain foods";"mccain foods";"mccain foods";0;1;"auto"
"nexen";"nexen";"nexen";0;1;"auto"
"nordion";"nordion";"nordion";0;1;"auto"
"nova chemicals";"nova chemicals";"nova chemicals";0;1;"auto"
"ontario lottery and gaming";"ontario lottery and gaming";"ontario lottery and gaming";0;1;"auto"
"packers plus energy services";"packers plus energy";"packers plus energy";0;1;"auto"
"painceptor pharma";"painceptor";"painceptor";0;1;"auto"
"palliser furniture";"palliser furniture";"palliser furniture";0;1;"auto"
"paramount resources";"paramount resources";"paramount resources";0;1;"auto"
"parmalat canada";"parmalat canada";"parmalat canada";0;1;"auto"
"pollard banknote";"pollard banknote";"pollard banknote";0;1;"auto"
"prevost car";"prevost car";"prevost car";0;1;"auto"
"protecode";"protecode";"protecode";0;1;"auto"
"purolator courier";"purolator courier";"purolator courier";0;1;"auto"
"quester tangent";"quester tangent";"quester tangent";0;1;"auto"
"rogers communications";"rogers communications";"rogers communications";0;1;"auto"
"royal bank of canada";"royal bank of canada";"royal bank of canada";0;1;"auto"
"sandvine";"sandvine";"sandvine";0;1;"auto"
"saskatchewan minerals";"saskatchewan minerals";"saskatchewan minerals";0;1;"auto"
"sasktel";"sasktel";"sasktel";0;1;"auto"
"sepro mineral systems";"sepro mineral";"sepro mineral";0;1;"auto"
"shell canada";"shell canada";"shell canada";0;1;"auto"
"sierra wireless";"sierra wireless";"sierra wireless";0;1;"auto"
"sifto canada";"sifto canada";"sifto canada";0;1;"auto"
"stelco";"stelco";"stelco";0;1;"auto"
"suncor energy";"suncor energy";"suncor energy";0;1;"auto"
"teck resources";"teck resources";"teck resources";0;1;"auto"
"teledyne dalsa";"teledyne dalsa";"teledyne dalsa";0;1;"auto"
"telus";"telus";"telus";0;1;"auto"
"tembec";"tembec";"tembec";0;1;"auto"
"tm4";"tm4";"tm4";0;1;"auto"
"tolko";"tolko";"tolko";0;1;"auto"
"west fraser timber";"west fraser timber";"west fraser timber";0;1;"auto"
"celulosa arauco y constitucion";"celulosa arauco y constitucion";"celulosa arauco y constitucion";0;1;"auto"
"baidu";"baidu";"baidu";0;1;"auto"
"bank of communications";"bank of communications";"bank of communications";0;1;"auto"
"bosideng";"bosideng";"bosideng";0;1;"auto"
"chery automobile";"chery automobile";"chery automobile";0;1;"auto"
"citic";"citic";"citic";0;1;"auto"
"dongfeng motor";"dongfeng motor";"dongfeng motor";0;1;"auto"
"feicheng acid chemicals";"feicheng acid chemicals";"feicheng acid chemicals";0;1;"auto"
"haier";"haier";"haier";0;1;"auto"
"hefei meiling";"hefei meiling";"hefei meiling";0;1;"auto"
"hisense";"hisense";"hisense";0;1;"auto"
"hisilicon";"hisilicon";"hisilicon";0;1;"auto"
"hytera communication";"hytera";"hytera";0;1;"auto"
"joyoung";"joyoung";"joyoung";0;1;"auto"
"meizu";"meizu";"meizu";0;1;"auto"
"midea";"midea";"midea";0;1;"auto"
"saic motor";"saic motor";"saic motor";0;1;"auto"
"suntech power";"suntech power";"suntech power";0;1;"auto"
"tencent";"tencent";"tencent";0;1;"auto"
"zte";"zte";"zte";0;1;"auto"
"ecopetrol";"ecopetrol";"ecopetrol";0;1;"auto"
"chr hansen";"chr hansen";"chr hansen";0;1;"auto"
"coloplast";"coloplast";"coloplast";0;1;"auto"
"danfoss";"danfoss";"danfoss";0;1;"auto"
"haldor topsoe";"haldor topsoe";"haldor topsoe";0;1;"auto"
"leo pharmaceuticals";"leo";"leo";0;1;"auto"
"novozymes";"novozymes";"novozymes";0;1;"auto"
"ahlstrom";"ahlstrom";"ahlstrom";0;1;"auto"
"altia";"altia";"altia";0;1;"auto"
"basware";"basware";"basware";0;1;"auto"
"codenomicon";"codenomicon";"codenomicon";0;1;"auto"
"fiskars";"fiskars";"fiskars";0;1;"auto"
"fortum";"fortum";"fortum";0;1;"auto"
"kone";"kone";"kone";0;1;"auto"
"konecranes";"konecranes";"konecranes";0;1;"auto"
"metso";"metso";"metso";0;1;"auto"
"neste";"neste";"neste";0;1;"auto"
"nokia networks";"nokia networks";"nokia networks";0;1;"auto"
"nokian tyres";"nokian tyres";"nokian tyres";0;1;"auto"
"raisio";"raisio";"raisio";0;1;"auto"
"rovio entertainment";"rovio entertainment";"rovio entertainment";0;1;"auto"
"ssh communications security";"ssh communications security";"ssh communications security";0;1;"auto"
"stonesoft";"stonesoft";"stonesoft";0;1;"auto"
"suominen";"suominen";"suominen";0;1;"auto"
"valio";"valio";"valio";0;1;"auto"
"valmet automotive";"valmet automotive";"valmet automotive";0;1;"auto"
"valtra";"valtra";"valtra";0;1;"auto"
"altran";"altran";"altran";0;1;"auto"
"arianespace";"arianespace";"arianespace";0;1;"auto"
"baccarat";"baccarat";"baccarat";0;1;"auto"
"bollore";"bollore";"bollore";0;1;"auto"
"bouygues telecom";"bouygues telecom";"bouygues telecom";0;1;"auto"
"bouygues";"bouygues";"bouygues";0;1;"auto"
"buzzinbees";"buzzinbees";"buzzinbees";0;1;"auto"
"carrefour";"carrefour";"carrefour";0;1;"auto"
"chanel";"chanel";"chanel";0;1;"auto"
"chantelle";"chantelle";"chantelle";0;1;"auto"
"credit lyonnais";"credit lyonnais";"credit lyonnais";0;1;"auto"
"criteo";"criteo";"criteo";0;1;"auto"
"danone";"danone";"danone";0;1;"auto"
"dassault aviation";"dassault aviation";"dassault aviation";0;1;"auto"
"dassault systems";"dassault";"dassault";0;1;"auto"
"diptyque";"diptyque";"diptyque";0;1;"auto"
"electricité de france edf";"electricite de france edf";"electricite de france edf";0;1;"auto"
"elf aquitaine";"elf aquitaine";"elf aquitaine";0;1;"auto"
"essilor";"essilor";"essilor";0;1;"auto"
"eutelsat";"eutelsat";"eutelsat";0;1;"auto"
"fnac";"fnac";"fnac";0;1;"auto"
"free";"free";"free";0;1;"auto"
"hermes";"hermes";"hermes";0;1;"auto"
"la poste";"la poste";"la poste";0;1;"auto"
"lacoste";"lacoste";"lacoste";0;1;"auto"
"lafarge";"lafarge";"lafarge";0;1;"auto"
"louis vuitton";"louis vuitton";"louis vuitton";0;1;"auto"
"michelin";"michelin";"michelin";0;1;"auto"
"nicox";"nicox";"nicox";0;1;"auto"
"orange";"orange";"orange";0;1;"auto"
"oxbow";"oxbow";"oxbow";0;1;"auto"
"pernod ricard";"pernod ricard";"pernod ricard";0;1;"auto"
"renault";"renault";"renault";0;1;"auto"
"sanofi";"sanofi";"sanofi";0;1;"auto"
"sephora";"sephora";"sephora";0;1;"auto"
"sigfox";"sigfox";"sigfox";0;1;"auto"
"suez";"suez";"suez";0;1;"auto"
"vinci";"vinci";"vinci";0;1;"auto"
"yoplait";"yoplait";"yoplait";0;1;"auto"
"aral";"aral";"aral";0;1;"auto"
"arburg";"arburg";"arburg";0;1;"auto"
"aurubis";"aurubis";"aurubis";0;1;"auto"
"axel springer";"axel springer";"axel springer";0;1;"auto"
"bahlsen kg";"bahlsen";"bahlsen";0;1;"auto"
"baywa";"baywa";"baywa";0;1;"auto"
"bbs kraftfahrzeugtechnik";"bbs kraftfahrzeugtechnik";"bbs kraftfahrzeugtechnik";0;1;"auto"
"behringer";"behringer";"behringer";0;1;"auto"
"bellevue investments";"bellevue investments";"bellevue investments";0;1;"auto"
"bertelsmann";"bertelsmann";"bertelsmann";0;1;"auto"
"beyerdynamic";"beyerdynamic";"beyerdynamic";0;1;"auto"
"bilfinger";"bilfinger";"bilfinger";0;1;"auto"
"birkenstock sales";"birkenstock";"birkenstock";0;1;"auto"
"blaupunkt";"blaupunkt";"blaupunkt";0;1;"auto"
"bomag";"bomag";"bomag";0;1;"auto"
"brabus";"brabus";"brabus";0;1;"auto"
"brenntag holding";"brenntag";"brenntag";0;1;"auto"
"carl walther";"carl walther";"carl walther";0;1;"auto"
"commerzbank";"commerzbank";"commerzbank";0;1;"auto"
"covestro";"covestro";"covestro";0;1;"auto"
"deutsche bahn";"deutsche bahn";"deutsche bahn";0;1;"auto"
"deutsche bank";"deutsche bank";"deutsche bank";0;1;"auto"
"deutsche post";"deutsche post";"deutsche post";0;1;"auto"
"deutz";"deutz";"deutz";0;1;"auto"
"diehl aerospace";"diehl aerospace";"diehl aerospace";0;1;"auto"
"edding";"edding";"edding";0;1;"auto"
"enocean";"enocean";"enocean";0;1;"auto"
"ferrostaal";"ferrostaal";"ferrostaal";0;1;"auto"
"fischertechnik";"fischertechnik";"fischertechnik";0;1;"auto"
"fissler";"fissler";"fissler";0;1;"auto"
"fraport";"fraport";"fraport";0;1;"auto"
