"onshored_patents","N_inv_nonwestern_log","N_inv_anglosaxon_log","N_patents_state_log","N_patents_TechGroup_log","imputed_N_inv_nonwestern_log","imputed_N_inv_anglosaxon_log","regio_tech"
1,1.2964580578167,3.85714090630586,7.94093976232779,10.1517138842178,-4.523534804856,-1.34482449079917,"AK02"
4,1.92690490947756,4.62488083407615,8.6383483129727,10.7113018080742,-3.78375878840492,-1.09436999348997,"AK02"
3,2.62562352787268,4.2214182806199,8.52575642207673,10.4948234669494,-4.62784470787033,-2.08649481427205,"AK04"
33,2.2212239606488,3.23378841846774,7.53583046279837,11.111820836139,-3.42502906392425,-1.63807576679191,"AK04"
0,1.85477904294245,3.30032126478596,7.94093976232779,10.1829736293884,-5.22779588630941,-2.46584016581112,"AK04"
57,1.48009517390306,3.52965304236422,7.61874237767041,10.9850384532759,-4.11800195402158,-1.86172106046739,"AK04"
22,1.75311534506998,3.54486366291032,8.22416351263786,10.9068729912612,-4.04936848480452,-1.70436525144055,"AK04"
13,2.09597409179125,4.54685899701648,8.6383483129727,10.6655075973824,-4.29509960000231,-1.88460415427798,"AK04"
40,2.07141303168798,3.36529439388059,7.72090525193678,11.0603373022929,-3.75832433502401,-1.77196001553088,"AK04"
0,3.0532764648649,4.66681359079768,8.6383483129727,9.78408445528835,-3.86544790391696,-0.827796764682241,"AK06"
0,2.99291466966373,4.5567446361317,8.52575642207673,9.74132150194574,-3.89784553429771,-0.801265484858868,"AK06"
2,2.10970675033704,3.95237668177043,7.53583046279837,10.0370126951411,-3.33845810675896,-0.778821108576786,"AK06"
0,0.356731614960528,3.52652178548868,6.65157187358973,9.35677565020573,-4.49971249056734,-1.14669250361467,"AK06"
0,1.89702437165948,4.26778750745193,7.94093976232779,9.59362803513964,-4.14143406735212,-0.876120694707509,"AK06"
6,3.03818689781835,3.7837465670064,7.72090525193678,9.92485757827232,-3.54644645467156,-0.891509008967696,"AK06"
0,2.51708387907386,4.18843508502211,7.61874237767041,9.82984101236783,-3.69683812593986,-0.948051776238589,"AK06"
3,2.75203554904926,4.38569865463147,8.22416351263786,9.80482676571216,-3.84124695382031,-0.908005154351055,"AK06"
0,1.21897599025037,4.10246870542593,6.07073772800249,9.66656196374813,-0.0942783930664288,3.20080897553175,"AL01"
0,0.395718545392722,3.67583125779252,5.89440283426485,9.5085913957772,-0.316163560682152,3.15539674913033,"AL01"
1,0.220762366963914,3.68894171266737,5.92958914338989,9.66332499605232,-0.17439072085962,3.20773156220244,"AL01"
2,0.553496059787796,3.19998747334257,5.90263333340137,9.58884529850156,-0.00449177841194573,3.02337062603313,"AL01"
